2326,239
1590,1569
426,331
642,30
1658,1263
1501,1172
1945,1315
2333,475
1841,1122
1503,741
1560,1215
577,532
1069,187
1337,1296
1496,955
1432,801
1721,898
2267,1279
1311,966
1339,1046
1603,1263
1806,1741
2253,2019
1641,1066
1736,1122
2131,565
2123,2038
1209,845
1148,409
2117,111
1537,1215
1501,930
1485,1031
497,373
1319,436
1708,1568
1928,1846
2279,2029
1712,898
2240,1279
1724,360
926,676
821,315
2144,1541
2228,2045
2116,565
1509,748
1708,1403
1457,384
1651,951
1012,686
1003,935
1896,74
1137,982
1972,1039
1811,620
1742,223
1317,1046
1816,1741
1741,82
1826,1612
1600,1010
1956,1545
1820,1271
935,511
1263,985
1907,74
1818,620
500,370
1336,705
1308,1046
1666,211
1457,1172
1732,82
1077,47
1833,1612
1666,1403
2156,2038
1031,833
549,532
1017,935
2149,323
832,130
884,234
2282,567
955,676
1788,223
1303,1046
1337,576
1616,480
2059,1541
2223,2045
2220,1445
1772,1122
2223,565
597,362
1622,951
1253,845
1560,70
1643,577
1988,942
693,196
1445,955
872,742
1219,846
2267,427
1956,1846
1684,898
1688,360
2333,2310
1778,966
1445,46
1900,701
500,102
1684,1066
1718,82
2192,2045
1432,183
1988,1219
1746,1215
1523,1296
1868,74
2059,323
1513,943
1736,155
1640,950
2175,546
1793,899
1695,1066
1894,1721
1945,1348
1032,47
1380,384
1604,951
1438,741
1271,845
1283,930
1435,955
1912,1271
1805,284
2048,323
1631,1291
2009,1039
1854,620
796,80
785,234
2010,1002
1614,1569
1670,360
2328,1896
1635,950
1869,1741
1788,1532
1597,1432
1041,47
2029,1994
694,90
2009,942
1017,532
1036,1031
1493,187
1504,436
1886,74
1993,1846
2030,1039
1979,126
2117,647
1833,1195
1751,966
1688,223
1631,211
2031,1159
1907,517
1815,899
2290,475
1457,601
2087,1541
1588,1432
2022,47
1664,1122
1394,384
2051,2038
1640,741
2066,247
745,196
1439,436
1894,1271
790,783
1833,74
2045,1597
2223,2029
2326,1501
2039,1039
1666,830
1868,620
2057,1560
1846,1195
2310,1896
